GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,NAME_E,AD4BE001,NAME_M,AD4BM001
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",0.4227,"Autauga County, Alabama",0.0175
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",0.4564,"Baldwin County, Alabama",0.0108
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",0.4642,"Barbour County, Alabama",0.0150
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",0.4410,"Bibb County, Alabama",0.0475
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",0.4037,"Blount County, Alabama",0.0145
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",0.4648,"Bullock County, Alabama",0.0414
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",0.4506,"Butler County, Alabama",0.0184
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",0.4464,"Calhoun County, Alabama",0.0111
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",0.4831,"Chambers County, Alabama",0.0356
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",0.4573,"Cherokee County, Alabama",0.0243
"G0100210","2011-2015",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",0.4462,"Chilton County, Alabama",0.0331
"G0100230","2011-2015",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",0.4849,"Choctaw County, Alabama",0.0190
"G0100250","2011-2015",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",0.5310,"Clarke County, Alabama",0.0279
"G0100270","2011-2015",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",0.4217,"Clay County, Alabama",0.0193
"G0100290","2011-2015",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",0.4381,"Cleburne County, Alabama",0.0230
"G0100310","2011-2015",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",0.4476,"Coffee County, Alabama",0.0155
"G0100330","2011-2015",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",0.4432,"Colbert County, Alabama",0.0154
"G0100350","2011-2015",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",0.5014,"Conecuh County, Alabama",0.0320
"G0100370","2011-2015",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",0.4207,"Coosa County, Alabama",0.0241
"G0100390","2011-2015",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",0.4613,"Covington County, Alabama",0.0126
"G0100410","2011-2015",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",0.4756,"Crenshaw County, Alabama",0.0190
"G0100430","2011-2015",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",0.4517,"Cullman County, Alabama",0.0138
"G0100450","2011-2015",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",0.4426,"Dale County, Alabama",0.0169
"G0100470","2011-2015",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",0.5255,"Dallas County, Alabama",0.0201
"G0100490","2011-2015",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",0.4430,"DeKalb County, Alabama",0.0175
"G0100510","2011-2015",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",0.4204,"Elmore County, Alabama",0.0163
"G0100530","2011-2015",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",0.4645,"Escambia County, Alabama",0.0198
"G0100550","2011-2015",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",0.4363,"Etowah County, Alabama",0.0109
"G0100570","2011-2015",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",0.4590,"Fayette County, Alabama",0.0225
"G0100590","2011-2015",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",0.4390,"Franklin County, Alabama",0.0179
"G0100610","2011-2015",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",0.4567,"Geneva County, Alabama",0.0280
"G0100630","2011-2015",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",0.5138,"Greene County, Alabama",0.0396
"G0100650","2011-2015",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",0.4868,"Hale County, Alabama",0.0235
"G0100670","2011-2015",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",0.4536,"Henry County, Alabama",0.0237
"G0100690","2011-2015",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",0.4815,"Houston County, Alabama",0.0078
"G0100710","2011-2015",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",0.4421,"Jackson County, Alabama",0.0136
"G0100730","2011-2015",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",0.4994,"Jefferson County, Alabama",0.0056
"G0100750","2011-2015",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",0.4808,"Lamar County, Alabama",0.0574
"G0100770","2011-2015",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",0.4589,"Lauderdale County, Alabama",0.0128
"G0100790","2011-2015",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",0.4357,"Lawrence County, Alabama",0.0185
"G0100810","2011-2015",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",0.4976,"Lee County, Alabama",0.0124
"G0100830","2011-2015",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",0.4604,"Limestone County, Alabama",0.0146
"G0100850","2011-2015",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",0.5464,"Lowndes County, Alabama",0.0542
"G0100870","2011-2015",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",0.4664,"Macon County, Alabama",0.0178
"G0100890","2011-2015",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",0.4676,"Madison County, Alabama",0.0074
"G0100910","2011-2015",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",0.5357,"Marengo County, Alabama",0.0398
"G0100930","2011-2015",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",0.4755,"Marion County, Alabama",0.0219
"G0100950","2011-2015",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",0.4744,"Marshall County, Alabama",0.0131
"G0100970","2011-2015",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",0.4693,"Mobile County, Alabama",0.0072
"G0100990","2011-2015",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",0.5194,"Monroe County, Alabama",0.0253
"G0101010","2011-2015",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",0.4819,"Montgomery County, Alabama",0.0092
"G0101030","2011-2015",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",0.4542,"Morgan County, Alabama",0.0137
"G0101050","2011-2015",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",0.5150,"Perry County, Alabama",0.0310
"G0101070","2011-2015",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",0.4780,"Pickens County, Alabama",0.0222
"G0101090","2011-2015",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",0.4992,"Pike County, Alabama",0.0204
"G0101110","2011-2015",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",0.4515,"Randolph County, Alabama",0.0296
"G0101130","2011-2015",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",0.4430,"Russell County, Alabama",0.0177
"G0101150","2011-2015",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",0.4260,"St. Clair County, Alabama",0.0183
"G0101170","2011-2015",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",0.4265,"Shelby County, Alabama",0.0118
"G0101190","2011-2015",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",0.5068,"Sumter County, Alabama",0.0206
"G0101210","2011-2015",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",0.4615,"Talladega County, Alabama",0.0161
"G0101230","2011-2015",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",0.4523,"Tallapoosa County, Alabama",0.0172
"G0101250","2011-2015",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",0.4671,"Tuscaloosa County, Alabama",0.0092
"G0101270","2011-2015",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",0.4594,"Walker County, Alabama",0.0152
"G0101290","2011-2015",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",0.4245,"Washington County, Alabama",0.0224
"G0101310","2011-2015",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",0.5360,"Wilcox County, Alabama",0.0260
"G0101330","2011-2015",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",0.4552,"Winston County, Alabama",0.0308
"G0200130","2011-2015",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",0.3743,"Aleutians East Borough, Alaska",0.0177
"G0200160","2011-2015",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",0.3711,"Aleutians West Census Area, Alaska",0.0145
"G0200200","2011-2015",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",0.4225,"Anchorage Municipality, Alaska",0.0095
"G0200500","2011-2015",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",0.4205,"Bethel Census Area, Alaska",0.0141
"G0200600","2011-2015",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",0.3571,"Bristol Bay Borough, Alaska",0.0465
"G0200680","2011-2015",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",0.3633,"Denali Borough, Alaska",0.0416
"G0200700","2011-2015",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",0.4377,"Dillingham Census Area, Alaska",0.0187
"G0200900","2011-2015",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",0.4026,"Fairbanks North Star Borough, Alaska",0.0145
"G0201000","2011-2015",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",0.4124,"Haines Borough, Alaska",0.0426
"G0201050","2011-2015",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",0.4063,"Hoonah-Angoon Census Area, Alaska",0.0293
"G0201100","2011-2015",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",0.3878,"Juneau City and Borough, Alaska",0.0352
"G0201220","2011-2015",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",0.4226,"Kenai Peninsula Borough, Alaska",0.0132
"G0201300","2011-2015",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",0.4110,"Ketchikan Gateway Borough, Alaska",0.0187
"G0201500","2011-2015",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",0.3988,"Kodiak Island Borough, Alaska",0.0301
"G0201580","2011-2015",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska",0.4082,"Kusilvak Census Area, Alaska",0.0142
"G0201640","2011-2015",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",0.4403,"Lake and Peninsula Borough, Alaska",0.0294
"G0201700","2011-2015",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",0.3997,"Matanuska-Susitna Borough, Alaska",0.0075
"G0201800","2011-2015",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",0.4361,"Nome Census Area, Alaska",0.0137
"G0201850","2011-2015",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",0.4047,"North Slope Borough, Alaska",0.0270
"G0201880","2011-2015",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",0.4067,"Northwest Arctic Borough, Alaska",0.0150
"G0201950","2011-2015",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",0.4318,"Petersburg Borough, Alaska",0.0258
"G0201980","2011-2015",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",0.4270,"Prince of Wales-Hyder Census Area, Alaska",0.0176
"G0202200","2011-2015",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",0.3876,"Sitka City and Borough, Alaska",0.0198
"G0202300","2011-2015",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",0.3282,"Skagway Municipality, Alaska",0.0324
"G0202400","2011-2015",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",0.3958,"Southeast Fairbanks Census Area, Alaska",0.0223
"G0202610","2011-2015",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",0.4138,"Valdez-Cordova Census Area, Alaska",0.0318
"G0202750","2011-2015",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",0.4135,"Wrangell City and Borough, Alaska",0.0271
"G0202820","2011-2015",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",0.3405,"Yakutat City and Borough, Alaska",0.0266
"G0202900","2011-2015",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",0.4531,"Yukon-Koyukuk Census Area, Alaska",0.0104
"G0400010","2011-2015",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",0.4793,"Apache County, Arizona",0.0120
"G0400030","2011-2015",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",0.4532,"Cochise County, Arizona",0.0101
"G0400050","2011-2015",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",0.4780,"Coconino County, Arizona",0.0159
"G0400070","2011-2015",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",0.4284,"Gila County, Arizona",0.0166
"G0400090","2011-2015",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",0.4271,"Graham County, Arizona",0.0168
"G0400110","2011-2015",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",0.3955,"Greenlee County, Arizona",0.0244
"G0400120","2011-2015",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",0.4147,"La Paz County, Arizona",0.0214
"G0400130","2011-2015",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",0.4645,"Maricopa County, Arizona",0.0021
"G0400150","2011-2015",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mohave County, Arizona",0.4382,"Mohave County, Arizona",0.0106
"G0400170","2011-2015",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Navajo County, Arizona",0.4766,"Navajo County, Arizona",0.0157
"G0400190","2011-2015",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pima County, Arizona",0.4726,"Pima County, Arizona",0.0047
"G0400210","2011-2015",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Pinal County, Arizona",0.4148,"Pinal County, Arizona",0.0087
"G0400230","2011-2015",,,"Arizona","04","Santa Cruz County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Santa Cruz County, Arizona",0.4613,"Santa Cruz County, Arizona",0.0215
"G0400250","2011-2015",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Yavapai County, Arizona",0.4352,"Yavapai County, Arizona",0.0082
"G0400270","2011-2015",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuma County, Arizona",0.4398,"Yuma County, Arizona",0.0098
"G0500010","2011-2015",,,"Arkansas","05","Arkansas County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Arkansas County, Arkansas",0.4816,"Arkansas County, Arkansas",0.0294
"G0500030","2011-2015",,,"Arkansas","05","Ashley County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Ashley County, Arkansas",0.4754,"Ashley County, Arkansas",0.0322
"G0500050","2011-2015",,,"Arkansas","05","Baxter County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baxter County, Arkansas",0.4574,"Baxter County, Arkansas",0.0333
"G0500070","2011-2015",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Benton County, Arkansas",0.4442,"Benton County, Arkansas",0.0075
"G0500090","2011-2015",,,"Arkansas","05","Boone County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Boone County, Arkansas",0.4482,"Boone County, Arkansas",0.0212
"G0500110","2011-2015",,,"Arkansas","05","Bradley County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bradley County, Arkansas",0.4928,"Bradley County, Arkansas",0.0375
"G0500130","2011-2015",,,"Arkansas","05","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Arkansas",0.4338,"Calhoun County, Arkansas",0.0283
"G0500150","2011-2015",,,"Arkansas","05","Carroll County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Carroll County, Arkansas",0.4240,"Carroll County, Arkansas",0.0232
"G0500170","2011-2015",,,"Arkansas","05","Chicot County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chicot County, Arkansas",0.5403,"Chicot County, Arkansas",0.0542
"G0500190","2011-2015",,,"Arkansas","05","Clark County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clark County, Arkansas",0.4856,"Clark County, Arkansas",0.0239
"G0500210","2011-2015",,,"Arkansas","05","Clay County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Arkansas",0.4427,"Clay County, Arkansas",0.0223
"G0500230","2011-2015",,,"Arkansas","05","Cleburne County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Arkansas",0.4717,"Cleburne County, Arkansas",0.0275
"G0500250","2011-2015",,,"Arkansas","05","Cleveland County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleveland County, Arkansas",0.4387,"Cleveland County, Arkansas",0.0289
"G0500270","2011-2015",,,"Arkansas","05","Columbia County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia County, Arkansas",0.4656,"Columbia County, Arkansas",0.0210
"G0500290","2011-2015",,,"Arkansas","05","Conway County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway County, Arkansas",0.4685,"Conway County, Arkansas",0.0207
"G0500310","2011-2015",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Craighead County, Arkansas",0.4733,"Craighead County, Arkansas",0.0181
"G0500330","2011-2015",,,"Arkansas","05","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crawford County, Arkansas",0.4437,"Crawford County, Arkansas",0.0231
"G0500350","2011-2015",,,"Arkansas","05","Crittenden County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crittenden County, Arkansas",0.4533,"Crittenden County, Arkansas",0.0137
"G0500370","2011-2015",,,"Arkansas","05","Cross County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cross County, Arkansas",0.4568,"Cross County, Arkansas",0.0234
"G0500390","2011-2015",,,"Arkansas","05","Dallas County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Arkansas",0.4169,"Dallas County, Arkansas",0.0270
"G0500410","2011-2015",,,"Arkansas","05","Desha County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,"Desha County, Arkansas",0.4983,"Desha County, Arkansas",0.0323
"G0500430","2011-2015",,,"Arkansas","05","Drew County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,"Drew County, Arkansas",0.4786,"Drew County, Arkansas",0.0285
"G0500450","2011-2015",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Faulkner County, Arkansas",0.4420,"Faulkner County, Arkansas",0.0129
"G0500470","2011-2015",,,"Arkansas","05","Franklin County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Arkansas",0.4261,"Franklin County, Arkansas",0.0236
"G0500490","2011-2015",,,"Arkansas","05","Fulton County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fulton County, Arkansas",0.4016,"Fulton County, Arkansas",0.0189
"G0500510","2011-2015",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Garland County, Arkansas",0.4873,"Garland County, Arkansas",0.0173
"G0500530","2011-2015",,,"Arkansas","05","Grant County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Grant County, Arkansas",0.4403,"Grant County, Arkansas",0.0417
"G0500550","2011-2015",,,"Arkansas","05","Greene County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Arkansas",0.4288,"Greene County, Arkansas",0.0161
"G0500570","2011-2015",,,"Arkansas","05","Hempstead County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hempstead County, Arkansas",0.4608,"Hempstead County, Arkansas",0.0326
"G0500590","2011-2015",,,"Arkansas","05","Hot Spring County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hot Spring County, Arkansas",0.4357,"Hot Spring County, Arkansas",0.0313
"G0500610","2011-2015",,,"Arkansas","05","Howard County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Howard County, Arkansas",0.4984,"Howard County, Arkansas",0.0421
"G0500630","2011-2015",,,"Arkansas","05","Independence County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Independence County, Arkansas",0.4581,"Independence County, Arkansas",0.0248
"G0500650","2011-2015",,,"Arkansas","05","Izard County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Izard County, Arkansas",0.4311,"Izard County, Arkansas",0.0233
"G0500670","2011-2015",,,"Arkansas","05","Jackson County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Arkansas",0.4984,"Jackson County, Arkansas",0.0384
"G0500690","2011-2015",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Arkansas",0.4797,"Jefferson County, Arkansas",0.0160
