GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADKXE001,ADKXE002,ADKXE003,ADKXE004,ADKXE005,ADKXE006,ADKXE007,ADKXE008,ADKXE009,ADKXE010,NAME_M,ADKXM001,ADKXM002,ADKXM003,ADKXM004,ADKXM005,ADKXM006,ADKXM007,ADKXM008,ADKXM009,ADKXM010
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",55221,42741,10315,230,534,24,511,866,74,792,"Autauga County, Alabama",0,428,254,87,176,31,457,300,76,281
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",195121,168646,18735,1166,1307,0,1870,3397,738,2659,"Baldwin County, Alabama",0,727,577,343,329,27,676,669,445,584
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",26932,12756,12595,52,244,0,928,357,5,352,"Barbour County, Alabama",0,239,205,43,158,21,283,151,9,151
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22604,17327,4846,93,21,0,7,310,0,310,"Bibb County, Alabama",0,15,232,44,27,21,15,228,21,228
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57710,54881,884,326,83,0,555,981,22,959,"Blount County, Alabama",0,325,117,222,67,27,275,215,29,211
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10678,2845,7550,124,22,0,0,137,0,137,"Bullock County, Alabama",0,482,504,147,25,18,18,140,18,140
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20354,11023,8961,13,81,0,59,217,0,217,"Butler County, Alabama",0,83,101,12,74,21,64,62,21,62
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",116648,87615,23895,223,1000,7,1162,2746,182,2564,"Calhoun County, Alabama",0,439,437,107,142,11,424,461,192,441
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34079,19652,13738,57,260,9,12,351,18,333,"Chambers County, Alabama",0,84,169,31,26,16,21,147,26,144
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",26008,24167,1281,144,88,4,17,307,5,302,"Cherokee County, Alabama",0,64,131,63,86,7,21,109,8,107
"G0100210","2011-2015",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",43819,36828,4528,158,126,0,1805,374,22,352,"Chilton County, Alabama",0,470,109,84,75,24,470,166,25,165
"G0100230","2011-2015",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",13395,7487,5801,2,0,0,2,103,0,103,"Choctaw County, Alabama",0,5,65,4,18,18,5,65,18,65
"G0100250","2011-2015",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",25070,13427,11346,7,90,96,24,80,10,70,"Clarke County, Alabama",0,48,187,8,91,148,39,77,15,71
"G0100270","2011-2015",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13537,11065,1963,105,0,0,192,212,22,190,"Clay County, Alabama",0,124,153,48,18,18,146,164,30,161
"G0100290","2011-2015",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",15002,14098,442,33,53,0,85,291,22,269,"Cleburne County, Alabama",0,112,108,45,65,18,79,125,34,118
"G0100310","2011-2015",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",50884,39067,8829,475,627,0,398,1488,11,1477,"Coffee County, Alabama",0,230,228,123,98,27,207,270,9,270
"G0100330","2011-2015",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54444,43311,8478,312,178,35,687,1443,274,1169,"Colbert County, Alabama",0,261,301,128,59,39,358,347,187,311
"G0100350","2011-2015",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",12865,6710,5752,37,6,0,2,358,0,358,"Conecuh County, Alabama",0,55,203,39,11,18,3,215,18,215
"G0100370","2011-2015",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",11027,7427,3384,7,0,0,0,209,0,209,"Coosa County, Alabama",0,18,175,11,18,18,18,175,18,175
"G0100390","2011-2015",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",37886,31954,4933,171,117,23,170,518,69,449,"Covington County, Alabama",0,91,84,76,53,28,93,124,72,124
"G0100410","2011-2015",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",13938,9966,3277,108,253,0,154,180,0,180,"Crenshaw County, Alabama",0,87,97,37,18,18,89,87,18,87
"G0100430","2011-2015",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",80965,77478,964,331,451,21,597,1123,77,1046,"Cullman County, Alabama",0,356,167,131,31,22,328,170,81,161
"G0100450","2011-2015",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",49866,37232,9798,258,588,10,593,1387,91,1296,"Dale County, Alabama",0,404,194,76,91,14,362,216,69,208
"G0100470","2011-2015",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",42154,12085,29164,77,144,20,68,596,26,570,"Dallas County, Alabama",0,38,257,58,62,32,74,244,27,244
"G0100490","2011-2015",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",71068,61415,1295,877,219,730,4936,1596,236,1360,"DeKalb County, Alabama",0,844,152,284,32,661,959,383,186,276
"G0100510","2011-2015",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",80763,60989,17137,222,417,0,548,1450,85,1365,"Elmore County, Alabama",0,348,236,87,146,27,294,269,79,257
"G0100530","2011-2015",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",37935,23303,12678,1207,49,0,146,552,53,499,"Escambia County, Alabama",0,140,241,93,39,24,129,184,72,168
"G0100550","2011-2015",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",103766,84312,16025,343,679,107,724,1576,94,1482,"Etowah County, Alabama",0,367,226,133,93,92,341,302,85,274
"G0100570","2011-2015",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",16896,14454,2093,0,66,0,0,283,0,283,"Fayette County, Alabama",0,52,215,18,68,18,18,184,18,184
"G0100590","2011-2015",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",31634,27924,1554,373,29,38,1327,389,161,228,"Franklin County, Alabama",0,708,389,257,28,49,713,203,163,136
"G0100610","2011-2015",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",26815,23195,2387,87,329,0,303,514,29,485,"Geneva County, Alabama",0,190,333,40,358,21,213,108,44,107
"G0100630","2011-2015",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",8697,1547,7015,7,14,0,0,114,64,50,"Greene County, Alabama",0,16,118,13,22,16,16,115,87,75
"G0100650","2011-2015",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",15256,6097,8886,43,42,9,127,52,36,16,"Hale County, Alabama",0,14,60,15,53,14,48,52,47,18
"G0100670","2011-2015",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",17252,12140,4891,0,0,0,67,154,10,144,"Henry County, Alabama",0,71,33,18,18,18,58,39,17,33
"G0100690","2011-2015",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",103534,72170,27359,383,792,35,853,1942,115,1827,"Houston County, Alabama",0,242,177,86,84,46,195,188,44,187
"G0100710","2011-2015",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",52860,48087,1635,582,210,64,672,1610,54,1556,"Jackson County, Alabama",0,261,157,207,34,65,267,247,50,243
"G0100730","2011-2015",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",659026,347760,279086,1515,10348,185,12603,7529,393,7136,"Jefferson County, Alabama",0,1158,900,322,356,52,1415,920,142,892
"G0100750","2011-2015",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",14133,12350,1565,40,3,0,89,86,0,86,"Lamar County, Alabama",0,18,89,41,4,18,99,47,18,47
"G0100770","2011-2015",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",92737,80613,9239,405,672,9,204,1595,132,1463,"Lauderdale County, Alabama",0,185,264,117,86,15,136,330,79,329
"G0100790","2011-2015",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",33586,25978,3848,1826,37,0,20,1877,256,1621,"Lawrence County, Alabama",0,170,87,288,20,24,24,341,248,368
"G0100810","2011-2015",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",150982,105518,35095,231,4947,26,2603,2562,151,2411,"Lee County, Alabama",0,694,627,111,205,44,784,506,147,502
"G0100830","2011-2015",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",88805,71980,11426,470,1106,38,1814,1971,157,1814,"Limestone County, Alabama",0,667,279,139,159,44,619,378,96,369
"G0100850","2011-2015",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",10742,2739,7955,0,0,0,0,48,0,48,"Lowndes County, Alabama",0,26,49,18,18,18,18,43,18,43
"G0100870","2011-2015",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",20018,3370,16271,62,43,0,119,153,5,148,"Macon County, Alabama",0,84,144,27,53,18,102,70,10,66
"G0100890","2011-2015",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",346438,238799,83437,2039,8622,367,2929,10245,693,9552,"Madison County, Alabama",0,824,797,261,458,77,685,1102,264,1005
"G0100910","2011-2015",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",20306,9482,10443,24,29,0,246,82,0,82,"Marengo County, Alabama",0,104,113,24,40,21,119,81,21,81
"G0100930","2011-2015",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",30387,28448,1170,65,86,0,21,597,24,573,"Marion County, Alabama",0,155,252,40,61,24,27,245,19,245
"G0100950","2011-2015",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",94318,86785,1811,454,458,41,2901,1868,244,1624,"Marshall County, Alabama",0,767,195,181,91,42,813,334,176,246
"G0100970","2011-2015",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",414251,248566,145175,2680,8148,64,2781,6837,421,6416,"Mobile County, Alabama",0,719,684,430,280,54,693,816,185,766
"G0100990","2011-2015",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",22217,12315,9382,284,74,0,10,152,0,152,"Monroe County, Alabama",0,80,105,79,54,21,18,91,21,91
"G0101010","2011-2015",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",228138,88800,127961,495,5164,33,2310,3375,753,2622,"Montgomery County, Alabama",0,555,424,162,445,28,554,508,376,435
"G0101030","2011-2015",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",119786,99051,14717,758,720,99,1817,2624,118,2506,"Morgan County, Alabama",0,561,306,235,161,122,557,421,75,410
"G0101050","2011-2015",,,"Alabama","01","Perry County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Perry County, Alabama",10038,3075,6829,4,44,0,16,70,0,70,"Perry County, Alabama",0,45,100,9,39,16,21,57,16,57
"G0101070","2011-2015",,,"Alabama","01","Pickens County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pickens County, Alabama",19856,11155,8412,0,13,9,99,168,37,131,"Pickens County, Alabama",0,102,168,21,24,15,62,89,40,78
"G0101090","2011-2015",,,"Alabama","01","Pike County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pike County, Alabama",33155,19188,12665,265,708,0,7,322,9,313,"Pike County, Alabama",0,129,160,44,59,24,10,102,9,103
"G0101110","2011-2015",,,"Alabama","01","Randolph County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Randolph County, Alabama",22648,17486,4520,58,38,50,111,385,28,357,"Randolph County, Alabama",0,152,267,50,61,78,120,200,28,195
"G0101130","2011-2015",,,"Alabama","01","Russell County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Russell County, Alabama",58302,31032,24411,202,440,117,396,1704,274,1430,"Russell County, Alabama",0,371,352,66,141,22,209,478,207,397
"G0101150","2011-2015",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",85864,75040,8134,371,719,4,786,810,27,783,"St. Clair County, Alabama",0,406,237,153,119,8,392,268,29,260
"G0101170","2011-2015",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Shelby County, Alabama",203530,165486,23940,551,4147,52,6783,2571,312,2259,"Shelby County, Alabama",0,795,316,179,273,51,823,515,227,453
"G0101190","2011-2015",,,"Alabama","01","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sumter County, Alabama",13341,3335,9665,52,226,0,23,40,6,34,"Sumter County, Alabama",0,32,140,66,110,18,31,44,7,44
"G0101210","2011-2015",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",81437,52661,26023,284,368,30,612,1459,177,1282,"Talladega County, Alabama",0,261,282,121,111,37,281,321,110,289
"G0101230","2011-2015",,,"Alabama","01","Tallapoosa County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tallapoosa County, Alabama",41153,28928,11404,146,15,0,340,320,24,296,"Tallapoosa County, Alabama",0,266,200,69,19,24,281,156,41,144
"G0101250","2011-2015",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tuscaloosa County, Alabama",200458,132600,61307,333,2953,67,1261,1937,42,1895,"Tuscaloosa County, Alabama",0,483,282,114,169,94,474,324,42,317
"G0101270","2011-2015",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",65923,60067,3801,42,246,0,377,1390,38,1352,"Walker County, Alabama",0,258,234,29,74,27,241,230,44,224
"G0101290","2011-2015",,,"Alabama","01","Washington County","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Washington County, Alabama",16997,11156,4224,1375,63,0,106,73,48,25,"Washington County, Alabama",0,77,79,18,73,18,84,80,76,21
"G0101310","2011-2015",,,"Alabama","01","Wilcox County","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilcox County, Alabama",11235,3073,8092,4,0,0,66,0,0,0,"Wilcox County, Alabama",0,18,64,6,18,18,63,18,18,18
"G0101330","2011-2015",,,"Alabama","01","Winston County","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Winston County, Alabama",24130,23207,122,182,43,16,27,533,58,475,"Winston County, Alabama",0,141,88,171,43,25,34,127,50,118
"G0200130","2011-2015",,,"Alaska","02","Aleutians East Borough","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians East Borough, Alaska",3304,712,304,979,1009,37,123,140,26,114,"Aleutians East Borough, Alaska",0,82,95,172,184,20,48,40,14,37
"G0200160","2011-2015",,,"Alaska","02","Aleutians West Census Area","016",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Aleutians West Census Area, Alaska",5684,1794,269,738,2112,141,301,329,52,277,"Aleutians West Census Area, Alaska",0,74,69,23,118,4,77,53,27,47
"G0200200","2011-2015",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anchorage Municipality, Alaska",299107,194254,17511,19745,26323,6436,5226,29612,2056,27556,"Anchorage Municipality, Alaska",0,1018,582,1211,908,311,877,1735,503,1664
"G0200500","2011-2015",,,"Alaska","02","Bethel Census Area","050",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethel Census Area, Alaska",17776,2136,142,14415,209,71,61,742,10,732,"Bethel Census Area, Alaska",0,79,22,223,26,102,77,209,11,210
"G0200600","2011-2015",,,"Alaska","02","Bristol Bay Borough","060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bristol Bay Borough, Alaska",970,547,5,284,7,2,19,106,0,106,"Bristol Bay Borough, Alaska",91,64,7,45,12,5,15,35,9,35
"G0200680","2011-2015",,,"Alaska","02","Denali Borough","068",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Denali Borough, Alaska",2060,1799,13,73,59,0,0,116,0,116,"Denali Borough, Alaska",143,151,22,49,37,9,9,52,9,52
"G0200700","2011-2015",,,"Alaska","02","Dillingham Census Area","070",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dillingham Census Area, Alaska",4979,932,17,3619,72,1,24,314,0,314,"Dillingham Census Area, Alaska",0,35,12,68,13,2,14,64,9,64
"G0200900","2011-2015",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",99705,76423,4340,6288,2621,633,889,8511,97,8414,"Fairbanks North Star Borough, Alaska",0,518,396,655,225,91,353,769,73,757
"G0201000","2011-2015",,,"Alaska","02","Haines Borough","100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haines Borough, Alaska",2560,2062,1,164,77,0,13,243,8,235,"Haines Borough, Alaska",0,156,3,61,60,9,21,126,11,127
"G0201050","2011-2015",,,"Alaska","02","Hoonah-Angoon Census Area","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hoonah-Angoon Census Area, Alaska",2128,1069,47,708,56,1,13,234,0,234,"Hoonah-Angoon Census Area, Alaska",0,107,52,88,49,3,14,55,9,55
"G0201100","2011-2015",,,"Alaska","02","Juneau City and Borough","110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Juneau City and Borough, Alaska",32531,22445,413,4017,2216,354,386,2700,121,2579,"Juneau City and Borough, Alaska",0,198,39,390,242,30,250,412,94,420
"G0201220","2011-2015",,,"Alaska","02","Kenai Peninsula Borough","122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenai Peninsula Borough, Alaska",57221,48115,363,4355,732,40,320,3296,137,3159,"Kenai Peninsula Borough, Alaska",0,179,61,327,145,34,176,374,84,365
"G0201300","2011-2015",,,"Alaska","02","Ketchikan Gateway Borough","130",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ketchikan Gateway Borough, Alaska",13699,9280,58,1960,1001,7,90,1303,13,1290,"Ketchikan Gateway Borough, Alaska",0,89,38,153,71,8,97,189,16,184
"G0201500","2011-2015",,,"Alaska","02","Kodiak Island Borough","150",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kodiak Island Borough, Alaska",13973,7549,66,1956,2973,156,391,882,290,592,"Kodiak Island Borough, Alaska",0,160,44,168,105,47,192,269,170,195
"G0201580","2011-2015",,,"Alaska","02","Kusilvak Census Area","158",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kusilvak Census Area, Alaska",7914,372,28,6965,35,4,0,510,0,510,"Kusilvak Census Area, Alaska",0,24,5,71,6,5,12,73,12,73
"G0201640","2011-2015",,,"Alaska","02","Lake and Peninsula Borough","164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake and Peninsula Borough, Alaska",1474,325,8,1012,47,10,2,70,2,68,"Lake and Peninsula Borough, Alaska",143,56,13,110,62,8,4,24,3,23
"G0201700","2011-2015",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Matanuska-Susitna Borough, Alaska",96178,80815,959,5072,1386,247,685,7014,180,6834,"Matanuska-Susitna Borough, Alaska",0,281,161,371,209,60,238,484,82,486
"G0201800","2011-2015",,,"Alaska","02","Nome Census Area","180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Nome Census Area, Alaska",9854,1720,72,6913,119,19,14,997,12,985,"Nome Census Area, Alaska",0,25,8,127,15,17,13,131,13,132
"G0201850","2011-2015",,,"Alaska","02","North Slope Borough","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Slope Borough, Alaska",9667,3187,64,4645,515,537,179,540,7,533,"North Slope Borough, Alaska",0,51,41,253,41,200,77,154,14,154
"G0201880","2011-2015",,,"Alaska","02","Northwest Arctic Borough","188",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northwest Arctic Borough, Alaska",7732,949,25,6343,59,2,45,309,0,309,"Northwest Arctic Borough, Alaska",0,19,19,77,14,2,28,70,12,70
"G0201950","2011-2015",,,"Alaska","02","Petersburg Borough","195",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Petersburg Borough, Alaska",3221,2325,97,194,74,14,168,349,18,331,"Petersburg Borough, Alaska",0,146,65,59,68,16,111,71,14,73
"G0201980","2011-2015",,,"Alaska","02","Prince of Wales-Hyder Census Area","198",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Prince of Wales-Hyder Census Area, Alaska",6376,2978,12,2672,49,16,12,637,13,624,"Prince of Wales-Hyder Census Area, Alaska",0,23,6,94,17,17,12,98,10,97
"G0202200","2011-2015",,,"Alaska","02","Sitka City and Borough","220",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Sitka City and Borough, Alaska",8943,5800,97,1317,526,30,92,1081,131,950,"Sitka City and Borough, Alaska",0,93,15,186,48,41,47,211,88,181
"G0202300","2011-2015",,,"Alaska","02","Skagway Municipality","230",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skagway Municipality, Alaska",999,782,0,61,106,0,5,45,2,43,"Skagway Municipality, Alaska",112,82,9,46,160,9,6,16,5,15
"G0202400","2011-2015",,,"Alaska","02","Southeast Fairbanks Census Area","240",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southeast Fairbanks Census Area, Alaska",7029,5604,80,742,101,33,85,384,9,375,"Southeast Fairbanks Census Area, Alaska",0,47,52,73,28,41,54,86,11,83
"G0202610","2011-2015",,,"Alaska","02","Valdez-Cordova Census Area","261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Valdez-Cordova Census Area, Alaska",9617,7044,0,1501,308,42,115,607,18,589,"Valdez-Cordova Census Area, Alaska",0,154,12,183,89,38,124,180,22,181
"G0202750","2011-2015",,,"Alaska","02","Wrangell City and Borough","275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wrangell City and Borough, Alaska",2387,1665,5,414,60,0,1,242,0,242,"Wrangell City and Borough, Alaska",0,95,7,87,54,9,4,49,9,49
"G0202820","2011-2015",,,"Alaska","02","Yakutat City and Borough","282",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yakutat City and Borough, Alaska",643,255,9,213,43,8,2,113,0,113,"Yakutat City and Borough, Alaska",91,48,13,41,54,8,4,23,9,23
"G0202900","2011-2015",,,"Alaska","02","Yukon-Koyukuk Census Area","290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yukon-Koyukuk Census Area, Alaska",5644,1312,17,3948,26,0,12,329,0,329,"Yukon-Koyukuk Census Area, Alaska",0,17,11,40,6,12,13,45,12,45
"G0400010","2011-2015",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",72124,16762,442,52154,308,75,762,1621,148,1473,"Apache County, Arizona",0,382,185,253,45,17,257,370,99,368
"G0400030","2011-2015",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cochise County, Arizona",129647,103744,5023,1519,2177,204,9449,7531,1813,5718,"Cochise County, Arizona",0,1281,413,323,270,212,1208,703,501,551
"G0400050","2011-2015",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coconino County, Arizona",136701,85870,2137,36791,2267,173,4890,4573,1132,3441,"Coconino County, Arizona",0,908,219,638,255,60,867,691,491,531
"G0400070","2011-2015",,,"Arizona","04","Gila County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gila County, Arizona",53165,42077,384,8029,319,12,1041,1303,212,1091,"Gila County, Arizona",0,330,112,183,62,20,290,264,153,248
"G0400090","2011-2015",,,"Arizona","04","Graham County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Graham County, Arizona",37407,28820,782,5048,241,64,1489,963,149,814,"Graham County, Arizona",0,488,89,189,35,54,439,337,87,308
"G0400110","2011-2015",,,"Arizona","04","Greenlee County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greenlee County, Arizona",9023,8063,139,315,40,0,314,152,87,65,"Greenlee County, Arizona",0,169,27,83,35,17,134,99,86,45
"G0400120","2011-2015",,,"Arizona","04","La Paz County","012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"La Paz County, Arizona",20335,15033,40,2805,168,55,1827,407,63,344,"La Paz County, Arizona",0,413,39,199,14,39,427,153,49,138
"G0400130","2011-2015",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maricopa County, Arizona",4018143,3197669,209789,76621,152248,8062,248655,125099,26042,99057,"Maricopa County, Arizona",0,8331,2363,1672,1739,492,7585,3484,1797,2916
